id,join_dt,group,country,gender,device,total_spent
1000000,2023-01-28,B,CAN,M,I,0
1000001,2023-01-27,A,BRA,M,A,0
1000002,2023-02-01,A,FRA,M,A,0
1000003,2023-01-25,B,BRA,M,I,0
1000004,2023-02-04,A,DEU,F,A,0
1000005,2023-01-26,B,GBR,F,A,0
1000006,2023-01-31,B,ESP,M,A,0
1000007,2023-01-25,A,BRA,F,A,0
1000008,2023-02-05,A,BRA,F,A,0
1000009,2023-01-31,A,USA,,A,0
1000010,2023-02-01,B,BRA,M,I,0
1000012,2023-01-25,B,USA,M,A,0
1000013,2023-01-25,A,GBR,F,A,0
1000014,2023-01-28,A,USA,M,A,0
1000015,2023-01-29,A,AUS,F,A,0
1000016,2023-01-28,A,DEU,F,I,0
1000017,2023-01-26,B,MEX,O,A,0
1000018,2023-01-26,B,USA,M,I,0
1000019,2023-01-25,B,MEX,F,A,0
1000020,2023-02-01,A,AUS,M,A,0
1000021,2023-01-29,B,GBR,M,A,0
1000022,2023-01-25,B,DEU,F,A,0
1000023,2023-01-29,B,BRA,M,I,0
1000024,2023-01-25,A,CAN,M,A,0
1000025,2023-01-25,A,USA,M,I,0
1000026,2023-01-27,B,DEU,F,A,0
1000027,2023-01-31,B,BRA,,I,0
1000028,2023-01-28,A,BRA,F,A,0
1000029,2023-01-25,A,MEX,M,A,0
1000030,2023-01-26,A,FRA,F,I,0
1000031,2023-01-25,B,GBR,F,I,0
1000032,2023-01-27,A,GBR,,I,0
1000033,2023-01-31,A,FRA,,A,0
1000034,2023-01-26,A,USA,M,A,0
1000035,2023-01-27,B,USA,F,A,0
1000036,2023-01-30,B,USA,F,A,0
1000037,2023-01-26,B,TUR,M,A,0
1000038,2023-01-25,A,BRA,M,A,0
1000039,2023-02-04,B,GBR,F,A,36.65
1000040,2023-01-25,A,USA,F,A,0
1000041,2023-01-27,A,CAN,M,A,0
1000042,2023-01-25,A,BRA,F,I,0
1000043,2023-01-25,B,,F,A,0
1000044,2023-01-27,B,USA,,A,0
1000045,2023-01-26,B,USA,F,I,51.58
1000046,2023-01-26,A,BRA,M,I,0
1000047,2023-01-26,A,USA,F,A,0
1000048,2023-01-26,A,CAN,F,I,0
1000049,2023-01-26,A,USA,F,A,0
1000050,2023-01-29,A,MEX,M,A,0
1000051,2023-01-29,B,MEX,,I,0
1000052,2023-01-30,B,BRA,M,I,0
1000053,2023-01-28,A,BRA,M,A,0
1000054,2023-01-25,B,GBR,F,A,0
1000055,2023-01-25,A,ESP,M,A,0
1000056,2023-01-29,B,AUS,M,A,0
1000057,2023-01-26,B,BRA,O,A,0
1000058,2023-01-26,A,TUR,F,A,0
1000059,2023-01-27,A,DEU,F,A,0
1000061,2023-01-25,B,DEU,M,A,0
1000062,2023-01-25,B,AUS,F,I,0
1000063,2023-01-27,A,USA,F,A,0
1000064,2023-01-31,B,CAN,M,A,0
1000065,2023-02-01,B,TUR,F,I,0
